('with anomalies', 'Gauss_1.0', 'VITI', 3.18156234369139, 3.0243985804030014)
('without anomalies', 'Gauss_1.0', 'VITI', 3.18156234369139, 3.0243985804030014)
('with anomalies', 'Gauss_1.0', 'DALR', 2.118122822006693, 1.7024933113841911)
('without anomalies', 'Gauss_1.0', 'DALR', 1.865210568317005, 1.0389864962361612)
('with anomalies', 'Gauss_1.0', 'VIFE', 2.1056509976902964, 1.1128503420824751)
('without anomalies', 'Gauss_1.0', 'VIFE', 2.1056509976902964, 1.1128503420824751)
('with anomalies', 'Gauss_1.0', 'HRUR', 3.3789423176016498, 2.7253023796253606)
('without anomalies', 'Gauss_1.0', 'HRUR', 3.3789423176016498, 2.7253023796253606)
('with anomalies', 'Gauss_1.0', 'HOTR', 2.51105987161924, 2.2787288692802994)
('without anomalies', 'Gauss_1.0', 'HOTR', 2.101215799584826, 1.5131464652904825)
('with anomalies', 'Gauss_1.0', 'JONG', 3.209641284979543, 2.1022031246577644)
('without anomalies', 'Gauss_1.0', 'JONG', 3.209641284979543, 2.1022031246577644)
('with anomalies', 'Gauss_1.0', 'GODA', 3.451945495105075, 3.6996697682539033)
('without anomalies', 'Gauss_1.0', 'GODA', 2.820869135548552, 2.3617117984309526)
('with anomalies', 'Gauss_1.0', 'LOKT', 3.3570802676839007, 4.878570154718376)
('without anomalies', 'Gauss_1.0', 'LOKT', 2.6837439776024357, 2.5050836789181816)
('with anomalies', 'Gauss_1.0', 'LOGR', 2.9862729886711676, 1.5686782100186516)
('without anomalies', 'Gauss_1.0', 'LOGR', 2.9862729886711676, 1.5686782100186516)
('with anomalies', 'Gauss_1.0', 'STAM', 2.9145804448120485, 5.459238086893715)
('without anomalies', 'Gauss_1.0', 'STAM', 2.4717277801685507, 4.005737951516896)
('with anomalies', 'Gauss_1.0', 'SOSU', 3.2210671752153535, 2.146977302063487)
('without anomalies', 'Gauss_1.0', 'SOSU', 2.8876468448961883, 1.4220923315563108)
('with anomalies', 'Gauss_1.0', 'OSKV', 3.1205880389170937, 1.5939756863931316)
('without anomalies', 'Gauss_1.0', 'OSKV', 3.1205880389170937, 1.5939756863931316)
('with anomalies', 'Gauss_1.0', 'JONS', 2.451269646324648, 1.4794204058153702)
('without anomalies', 'Gauss_1.0', 'JONS', 2.451269646324648, 1.4794204058153702)
('with anomalies', 'Gauss_1.0', 'TOHR', 2.8790383017024643, 3.0493568224438707)
('without anomalies', 'Gauss_1.0', 'TOHR', 2.6317441387990637, 2.1790238278235945)
('with anomalies', 'Gauss_1.0', 'HELL', 3.273135438856435, 2.773415148681901)
('without anomalies', 'Gauss_1.0', 'HELL', 3.273135438856435, 2.773415148681901)
('with anomalies', 'Gauss_1.0', 'MYNG', 5.950580261022261, 6.708103020139933)
('without anomalies', 'Gauss_1.0', 'MYNG', 5.950580261022261, 6.708103020139933)
('with anomalies', 'Gauss_1.0', 'MIDF', 1.3137961781619698, 0.9968765646619925)
('without anomalies', 'Gauss_1.0', 'MIDF', 1.2552211694882152, 0.8887918058748626)
('with anomalies', 'Gauss_1.0', 'MYVO', 2.2504988230293774, 2.3648213899548387)
('without anomalies', 'Gauss_1.0', 'MYVO', 2.152653476372802, 2.1654574090582526)
('with anomalies', 'Gauss_1.0', 'OSVA', 3.2201996430742583, 1.7815949950918613)
('without anomalies', 'Gauss_1.0', 'OSVA', 3.2201996430742583, 1.7815949950918613)
('with anomalies', 'Gauss_1.0', 'ASK', 1.9628992268064893, 1.6965303020150695)
('without anomalies', 'Gauss_1.0', 'ASK', 1.883701024614449, 1.5723991419782108)
('with anomalies', 'Gauss_1.0', 'OLGR', 4.228366884119862, 3.0976602959001243)
('without anomalies', 'Gauss_1.0', 'OLGR', 4.228366884119862, 3.0976602959001243)
('with anomalies', 'Gauss_1.0', 'NAUG', 1.357254451391457, 0.5913813206658682)
('without anomalies', 'Gauss_1.0', 'NAUG', 1.357254451391457, 0.5913813206658682)
('with anomalies', 'Gauss_1.0', 'DREK', 1.684826430653364, 0.8840781870668211)
('without anomalies', 'Gauss_1.0', 'DREK', 1.684826430653364, 0.8840781870668211)
('with anomalies', 'Gauss_1.0', 'RODG', 2.744137367279505, 2.6063281283875392)
('without anomalies', 'Gauss_1.0', 'RODG', 2.258252418837819, 1.7155221053224001)
('with anomalies', 'Gauss_1.0', 'VBOR', 3.2211429674910725, 2.887294262569986)
('without anomalies', 'Gauss_1.0', 'VBOR', 2.8479839904636943, 2.2130105629464096)
('with anomalies', 'Gauss_1.0', 'KLUR', 2.5936476052721815, 1.4725597988781056)
('without anomalies', 'Gauss_1.0', 'KLUR', 2.5936476052721815, 1.4725597988781056)
('with anomalies', 'Gauss_1.0', 'SVAD', 2.3864399168616, 1.986730495566018)
('without anomalies', 'Gauss_1.0', 'SVAD', 2.2822556297951193, 1.7720010923615206)
('with anomalies', 'Gauss_1.0', 'ATOP', 4.029477399578518, 1.7215824912615008)
('without anomalies', 'Gauss_1.0', 'ATOP', 4.029477399578518, 1.7215824912615008)
('with anomalies', 'Gauss_1.0', 'HOTT', 1.6319221509253783, 1.0156474061777288)
('without anomalies', 'Gauss_1.0', 'HOTT', 1.6319221509253783, 1.0156474061777288)
('with anomalies', 'Gauss_1.0', 'RIFR', 1.9612724737159446, 1.8672724347636447)
('without anomalies', 'Gauss_1.0', 'RIFR', 1.8427084883378582, 1.5013668745254574)
('with anomalies', 'Gauss_1.0', 'TOLI', 1.4917204689472365, 1.5024473531867326)
('without anomalies', 'Gauss_1.0', 'TOLI', 1.3588960515046036, 1.0789208102996597)
('with anomalies', 'Gauss_1.0', 'DYSA', 2.2525674495828443, 1.2917832352396497)
('without anomalies', 'Gauss_1.0', 'DYSA', 2.2525674495828443, 1.2917832352396497)
('with anomalies', 'Gauss_1.0', 'MOFO', 1.5801814009770005, 1.0923366041818678)
('without anomalies', 'Gauss_1.0', 'MOFO', 1.4353132600458318, 0.7334323766616373)
('with anomalies', 'Gauss_1.0', 'KATT', 2.3919378482652034, 2.2806451854697105)
('without anomalies', 'Gauss_1.0', 'KATT', 2.208752838109179, 1.670148011589135)
('with anomalies', 'Gauss_1.0', 'FJAS', 1.713520336526841, 2.0131726763068025)
('without anomalies', 'Gauss_1.0', 'FJAS', 1.4630062722433246, 1.120755209440304)
('with anomalies', 'Gauss_1.0', 'STOR', 1.174565998189813, 0.6385312102771782)
('without anomalies', 'Gauss_1.0', 'STOR', 1.174565998189813, 0.6385312102771782)
('with anomalies', 'Gauss_1.0', 'VADA', 1.8407257504462815, 2.07293942604962)
('without anomalies', 'Gauss_1.0', 'VADA', 1.531493234303679, 1.037591581854759)
('with anomalies', 'Gauss_1.0', 'LIND', 1.7184183830462805, 1.6017354324129773)
('without anomalies', 'Gauss_1.0', 'LIND', 1.5951254519558433, 1.1622116368932165)
